PROMOVAT,Product Name,Price (lei),Negociabil,Used,Location
1,Placa video Sapphire Radeon RX 7700 XT Pulse,1899,0,1,Targu Neamt
0,GTX 1660 ti Aorus,800,0,1,Bistrita
0,Placa video Nvidia GTX66,400,1,1,Arad
0,Placa video Zotac gaming RTX 3080 Amp Holo 10 Gb,2999,0,1,"Bucuresti, Sectorul 4"
0,Placa video gtx 1070 Zotac Amp! Edition,900,0,1,Medgidia
0,Placa video GTX165,600,1,1,Arad
0,Placa video gigabyte,450,1,1,Pitesti
0,"AMD ASUS RX 7600 Dual, OC, 8GB, Garanție Emag 3 ani",999,0,0,Cluj
0,"Placa video agp,retro,vintage,colecție MSI NX6200AX-TD51",2120,0,1,Timisoara
0,Placa video RX 6500 XT msi mech 2x OC 4gb vram,499,0,1,Baia Mare
1,"AMD ASUS RX 7600 Dual, OC, 8GB, Garanție Emag 3 ani",999,0,0,Cluj
1,Placa video PowerColor Radeon RX 6900 XT 16GB GDDR6 256-bit,2000,0,1,"Bucuresti, Sectorul 2"
1,Placa Video Nvidia / AMD 1GB 64Bit DVI HDMI Multi View,60,0,1,"Bucuresti, Sectorul 3"
0,"Rtx 1650 4GB, GDDR",6450,0,1,Peciu Nou
0,Placa video GT 1030 2gb,200,0,1,Lazu
0,Placa video Gainwaed Nvidia,350,1,1,Cornu de Jos
0,Placa video defecta - AMD Sapphire HD79,7070,0,1,Iasi
0,placă video NVIDIA NVS 315 1GB DDR,350,0,1,Brasov
0,Vînd placă video,150,0,1,Tecuci
0,Vand placa video nvidia gtx 650 ti 1gb ddr,5150,0,1,Botosani
0,"Placa video MSI GeForce RTX 2070 GAMING Z, 8GB, 256-bit",1400,0,1,"Ilfov, Voluntari"
0,Placa video AMD Sapphire Nitro + 4GB,400,0,1,Popesti
0,GTX 1080 EVGA Classified 8GB,1000,0,1,"Bucuresti, Sectorul 4"
1,"Placa Video Gigabyte 4070 super  windforce, oc edition, sigilata",3000,0,0,Constanta
1,Placa video Sapphire Nitro+ Radeon RX 570 8GB GDDR5 Garantie 6 Luni,450,0,1,"Bucuresti, Sectorul 3"
1,Placa video RX 7900 XT PowerColor Hellhound 20GB GDDR6 noua,2850,1,0,"Bucuresti, Sectorul 5"
0,Placa video Geforce RTX 4070 12gb Noua/Fact+Garantie,2600,0,0,Oradea
0,Placa video RX 570 Gaming  NITRO+  8 GB GDDR5 256-bit Garantie 6 Luni,450,0,1,"Bucuresti, Sectorul 3"
0,"Placa video GIGABYTE GTX 1080 ti, 11 GB DDRX5",1100,1,1,Rosu
0,Placa video Sapphire Pulse Radeon RX 5700 XT 8GB GDDR6 256-bit,750,1,1,"Bucuresti, Sectorul 6"
0,"Vand Nvidia NVS 510 2gb/128b - 4 miniDP, placa video profesionala",150,0,1,Giurgiu
0,Placa Video MSI GeForce GT73,300,0,1,Buzau
0,placa video asus gtx 1660 dual evo,600,1,1,Santu
0,Placa video Gigabyte R7 260x OC 2GB GDDR5 128-bit 199Ron,199,0,1,"Bucuresti, Sectorul 3"
0,Placa video 1650 4gb,300,1,1,Dej
1,Placa video nVidia Quadro K200,160,0,1,Timisoara
1,RTX 3060 12GB de la Asus noua sigilata,1350,1,0,Suceava
1,"AMD ASUS RX 7600 Dual, OC, 8GB, Garanție Emag 3 ani",999,0,0,Cluj
0,placa video asus gtx 1660 dual evo,600,1,1,Santu
0,Placa video Gigabyte R7 260x OC 2GB GDDR5 128-bit 199Ron,199,0,1,"Bucuresti, Sectorul 3"
0,Placa video 1650 4gb,300,1,1,Dej
0,Salvează căutareaTe anunțăm oricând apar anunțuri noi.SalveazăPlaca video XFX Radeon RX 6600 XT SPEEDSTER QICK08 BLACK 8GB GDDR,6870,0,1,Biharia
0,Placa Video Gigabyte 2 GB,100,0,1,Cehu Silvaniei
0,cablul alimentare placa video,25,0,1,"Bucuresti, Sectorul 4"
0,Placa video GIGABYTE GeForce GTX 460 OC2 1GB GDDR5 256-bit,100,0,1,"Bucuresti, Sectorul 1"
0,Placa video GTX 1080 MSi tip Blower,600,0,1,"Bucuresti, Sectorul 3"
0,Placa video Gainward GeForce GTX 570 Phantom 1.28GB GDDR5 320-bit,110,0,1,Marginea
0,"Placa video MSI Nvidia RTX 3080 Ti GAMING X TRIO, 12GB GDDR6X, 384-bit",3200,1,1,Ramnicu Valcea
1,nVidia RTX A2000 6GB - placa video profesionala noua SFF low profile,1100,0,0,Corbeanca
1,Vand Placa video ASUS RX570 4Gb EXPEDITION,250,0,1,Cluj
1,Placa video ASUS ROG Strix GeForce RTX 3070 TI OC Edition aproape nou,1750,0,1,Targu Jiu
0,AMD ATI Radeon HD 5870 Premium graphics,199,0,1,"Bucuresti, Sectorul 6"
0,Placa Video Gaming AMD RX 590 8GB GDDR5 Special Edition,610,0,1,"Bucuresti, Sectorul 4"
0,Placa video GTX 750 OC 1024M GDDR,5250,0,1,Brasov
0,"scheda video Geforce nvidia 4 GB,128 BIT",200,1,0,Craiova
0,Placa video Sapphire Nitro+ Radeon RX 570 8GB GDDR5 Garantie 6 Luni,450,0,1,"Bucuresti, Sectorul 3"
0,"Placa video Gaming ASUS nvidia GeForce 1050 , 2GB GDDR5 128 Bit GDDR",5250,0,1,"Bucuresti, Sectorul 3"
0,Vand placa video AMD FIREPRO™  W2100 2gb vram,200,0,1,Sighetu Marmatiei
0,Placa video Nvidia Quadro200,150,0,1,Buftea
0,placa video gtx107,550,0,1,Curtea de Arges
0,Vand Placa video Gainward Phoenix RTX 3070 Ti 8GB Defecta.,700,0,1,Cluj
1,"Placa Video Gigabyte 4070 super  windforce, oc edition, sigilata",3000,0,0,Constanta
1,Placa video Radeon RX 7900 GRE 16GB Powerrcolor Hellhound,2300,0,0,"Bucuresti, Sectorul 4"
1,CALCULATOR GAMING i5 16 GB RAM 750GB Placa VIDEO 8GB Garantie 12 Luni,1280,0,1,"Bucuresti, Sectorul 3"
0,Plăci video de vânzare,150,1,1,Lazaret
0,Placi video low end functionale hd 6450/4650/fx18,20,0,1,Tecuci
0,"Placa video Gigabyte GeForce GTX 1660 Super, 6GB GDDR6, 192-bit X3 FAN",1200,0,1,Boldesti
0,"Placa video ASUS GeForce GTX 750 Ti OC, 2GB GDDR5, 128-bit",200,0,1,Timisoara
0,Placa video Palit GTX 1660 Ti StormX 6GB DDR,6700,1,1,Vaslui
0,"Placa video MSI AMD Radeon HD 7770, 1024MB, GDDR5, 128bit",120,0,1,Targu Jiu
0,Vând placa video R937,300,1,1,Archiud
0,Placa Video ASUS GTX106,600,0,1,Timisoara
0,"Placa video ASUS GeForce® GTX 970 OC STRIX, 4GB GDDR5, 256-bit",329,1,1,Constanta
0,Placa video Gigabyte RTX 2080 Windforce OC 8GB,1200,0,1,Brasov
1,Vand materiale pentru containere modulare,250,0,0,Piatra Neamt
1,Placa video Sapphire Radeon RX 7700 XT Pulse,1899,0,1,Targu Neamt
1,Vând 4080 Super Rog Strix OC,6900,1,0,Slanic
0,Nvidia Rtx 2060 kfa,2600,0,1,"Bucuresti, Sectorul 5"
0,"Placa video eVGA nVidia GeForce GTX 460, 1GB, GDDR5, 256bit,",100,0,1,Medias
0,Gtx 970 Asus Strix 4gb,300,1,1,Popesti
0,placa video RTX A4000 16GB placa grafica profesionala  (fost Quadro),2500,0,1,Iasi
0,Placa video ASUS NVidia RTX 3080 ROG STRIX OC,2700,0,1,Ploiesti
0,Gigabyte 2060 Super Windforce OC 8Gb,1100,0,1,"Bucuresti, Sectorul 2"
0,Nvidia 8500gt 512mb,30,0,1,Sibiu
0,Gigabyte GeForce GTX 1070 256 biti,670,1,1,"Bucuresti, Sectorul 1"
0,Placa video GIGABYTE GeForce GTX 1060 GAMING 6GB GDDR5 192-bit,500,0,1,Carei
1,nVidia RTX A2000 6GB - placa video profesionala noua SFF low profile,1100,0,0,Corbeanca
